CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
1043678;BOTA PLUS ENKEL+VELCRO SK LI XL;Enkel en hiel;18.61;21.90;-0.15;0.18
2777746;ETIXX RECOVERY + ENERGY SPORT BAR CARAMEL 12X40G;Recuperatie;19.99;24.99;-0.20;0.25
2663755;MAGNESIUM 500 MINERALS BE LIFE GEL 180;Spierkrampen;20.70;23.00;-0.10;0.11
2126282;LEUKOTAPE REMOVER 350ML 9728503;Tape en windels;14.96;17.60;-0.15;0.18
2867224;NATURA MAGNESIUM NF ENERGETICA 100ML;Magnesium;14.92;17.55;-0.15;0.18
176073;BOTA 44 AB ENKEL 22CM S;Enkel en hiel;12.32;14.50;-0.15;0.18
1543420;RIBOSE PDR OPLOSBAAR 100G DEBA;Sportenergie;24.65;29.00;-0.15;0.18
1202878;COENZYME Q10 CAPS 30X30MG DEBA;Tonica;10.62;12.50;-0.15;0.18
3;FUTURO ENKELBANDAGE SKIN L 47876;Enkel en hiel;16.02;18.85;-0.15;0.18
1044916;BOTA ORTHO DF 1110 WH N4;Knie;47.17;55.50;-0.15;0.18
2469005;ICE POWER PLUS GEL TUBE 100ML;Spierpijn;11.64;13.70;-0.15;0.18
2665446;MAGNESIUM MAGNUM MINERALS BE LIFE NF GEL 60;Magnesium;14.40;16.00;-0.10;0.11
2280261;LUCOVITAAL GLUCO CHONDRO TABL 120;Gewrichten;30.65;36.06;-0.15;0.18
1433465;IJZER COMPLEX VEGETAT. CAPS 60X25MG DEBA;Ijzer;12.32;14.50;-0.15;0.18
3;FUTURO POLSBANDAGE SKIN 46709;Pols, hand en duim;12.64;14.87;-0.15;0.18
630228;PHARMEX COLD HOT PACK 30X10CM;Spierpijn;32.52;38.26;-0.15;0.18
488874;BOTA POLSBAND ELAST VELCRO WH M;Pols, hand en duim;6.46;7.60;-0.15;0.18
669879;FLORADIX ELEXIR 500ML;Ijzer;17.81;20.95;-0.15;0.18
1535103;BIOCURE VITAMINE SPORT CAPS 60;Tonica;17.00;20.00;-0.15;0.18
1493311;FYTOSTAR GINSENG FORTE CAPS 45;Tonica;15.26;17.95;-0.15;0.18
2363711;ACTIMOVE WRIST SPLINT LINKS L 7341602;Pols, hand en duim;34.26;40.31;-0.15;0.18
2727907;MAGNIXX TABL 30X1242MG;Spierkrampen;7.86;9.25;-0.15;0.18
47852;MAGNESIUM OK VROUW COMP 30 6172;Magnesium;8.46;9.95;-0.15;0.18
1173616;TOPIDERM COOL GEL 250ML;Spierpijn;10.37;12.20;-0.15;0.18
3217619;THERAPEARL HOT-COLD PACK KNIE;Spierpijn;17.27;20.32;-0.15;0.18
2060531;SILICIUM ORGANISCH G5 VLB 1L BIOTICAS;Gewrichten;35.27;41.50;-0.15;0.18
2961134;PSB SPORT BRACE ANKLE 8 MEDIUM LINKS;Enkel en hiel;36.97;43.50;-0.15;0.18
3260007;MAGNELEVURES NUTRIDOSES PDR DRINKB.OPL ZAKJE 30;Spierkrampen;19.80;23.30;-0.15;0.18
1431204;Perfect Protein 80 Chocolade Pdr 750g;Eiwitten;26.12;27.50;-0.05;0.05
2469005;ICE POWER PLUS GEL TUBE 100ML;Massage;11.64;13.70;-0.15;0.18
3012309;ARGININE 500 PDR ZAKJE 30X4G;Uithouding;79.98;84.19;-0.05;0.05
497776;BOTA PLUS ENKEL SK L;Enkel en hiel;12.32;14.50;-0.15;0.18
1043371;BOTA EL-BOTA LONG SPORT WH/WH N1;Elleboog;29.07;34.20;-0.15;0.18
1043611;BOTA PLUS ENKEL+VELCRO WH RE M;Enkel en hiel;18.61;21.90;-0.15;0.18
2156982;MCDAVID PATELLA KNEE SUPPORT BLACK M 421;Knie;55.21;64.95;-0.15;0.18
3021417;PHYSALIS FERRO B12 TABL 60;Ijzer;9.81;10.90;-0.10;0.11
3;FUTURO POLSSPALK OMKEERBAAR M 47854;Pols, hand en duim;33.13;38.98;-0.15;0.18
1752419;PSB SPORT BRACE DUIM LINKS 16-19CM S;Pols, hand en duim;38.25;45.00;-0.15;0.18
2133049;SPORTSTECH CREAXXELL PDR 495G 3217 METAGENICS;Melkzuurpreventie;22.49;24.99;-0.10;0.11
641738;BOTA HANDPOLSBAND 200 WHITE M;Pols, hand en duim;18.61;21.90;-0.15;0.18
