CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
3047578;FORTIMEL COMPACT FIBRE AARDBEI 4X125ML;Vezelrijk;11.38;11.98;-0.05;0.05
1378157;PRODIA CHOCOLADE WIT PRALINE 3X42G 5891;Suikervrij/arm;3.15;3.50;-0.10;0.11
2673705;BIO-SLIM COMP 60;Hongerstillers;16.96;19.95;-0.15;0.18
2930402;DELICAL MELKDRANK HP-HC RODE VRUCHTEN 4X200ML;Vervangvoeding;7.75;8.16;-0.05;0.05
2875987;PHYTOFEMME VOCHTOPHOPING COMP 120 11850;Vochtafdrijvers;21.99;25.87;-0.15;0.18
2762144;FRESUBIN 5KCAL SHOT NEUTRAAL EASY BOTTLE 4X200ML;Vervangvoeding;20.82;21.92;-0.05;0.05
2688034;FYTOSTAR EXPERTISE EGCG LINE SLIMMING CAPS 60;Vetverbranders;28.01;32.95;-0.15;0.18
3103702;DELICAL MAX 300 CARAMEL 4X300ML;Vervangvoeding;14.25;15.00;-0.05;0.05
1455583;TARANIS NAGERECHT VANILE-CHOCOLADE 5X19G 4602;Glutenvrij;5.13;5.40;-0.05;0.05
1682921;LAXARINE KONFITUUR PRUIM-TAXARIN 230G;Moeilijke stoelgang;6.66;7.83;-0.15;0.18
2510824;INFUSIE BIO GROENE THEE-MUNT ZAKJE 20;Vetverbranders;3.72;4.38;-0.15;0.18
2835338;SOMATOLINE COSM.MENOPAUSE CREME 150ML;Vetverbranders;36.97;43.50;-0.15;0.18
2447001;OLVARIT FRUIT BANAAN-APPEL MET KOEK 6M 2X200G;Lactosevrij;2.84;2.99;-0.05;0.05
2648673;RESOURCE 2.0 FIBRE ABRIKOOS 4X200ML 12100729;Vervangvoeding;11.44;12.04;-0.05;0.05
3116852;CHILINE VETVERBRANDING COMP DUO PACK 2X60 -10€;Vetverbranders;35.91;39.90;-0.10;0.11
3184975;FORTIMEL COMPACT PROTEIN MIX MULTIPACK 8X125ML;Proteïnenrijk;22.75;23.95;-0.05;0.05
2837987;KINESLIM KARAMELFLAN PDR ZAKJE 4;Eiwitdieet-maaltijdvervangers;8.46;9.95;-0.15;0.18
2223956;ORGRAN GLUTENVERVANGER 120G 4146;Glutenvrij;3.91;4.35;-0.10;0.11
2518991;FRESUBIN ENERGY FIBRE DRINK AARDBEI FL 4X200ML;Vervangvoeding;8.51;8.96;-0.05;0.05
3079589;CETOSLIM DRINK PERZIK-MANGO PDR ZAKJE 6;Eiwitdieet-maaltijdvervangers;14.02;16.50;-0.15;0.18
2577310;NUTRINI ENERGY 1-6J PACK 500ML 65717;Sondevoeding;6.18;6.51;-0.05;0.05
1728617;SCHAR BLOEM MIX B BROOD 1000G 6572;Glutenvrij;4.23;4.45;-0.05;0.05
2905057;BIOVER CARNITINE FORTE COMP 60;Vetverbranders;12.74;14.99;-0.15;0.18
2908564;ISOSOURCE STANDARD FIBRE SMARTFLEX 500ML 12139014;Glutenvrij;4.46;4.69;-0.05;0.05
1555861;DETOXICAPS V-CAPS 120 DEBA;Detox;19.80;23.30;-0.15;0.18
2656205;ORTIS METHODDRAINE DETOXINE APPEL Z/FUCUS BIO250ML;Vochtafdrijvers;17.59;19.55;-0.15;0.11
2760304;KIL OUT 800 BLISTER COMP 60;Vetblokkers;15.04;17.70;-0.15;0.18
