CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
3174596;CENTRUM MEN ADVANCED COMP 30;Vitaminen;12.71;14.95;-0.15;0.18
3137031;ALGODYN NF BLISTER COMP 6X15;Anti-oxidanten;29.70;33.00;-0.10;0.11
2682250;DYNABIANE GEL 60X592MG;Energiegebrek;21.16;24.90;-0.15;0.18
3035201;LAMBERTS VITAMINE C 1000MG TR TABL 60;Vitaminen;12.88;15.15;-0.15;0.18
3080249;VITAMINE D 400IU TABL 84 METAGENICS;Vitaminen;8.49;9.99;-0.15;0.18
2438984;D-MANNOSE 500MG V-CAPS 60 DEBA;Genezen;22.86;26.90;-0.15;0.18
3335320;ALL DAY B-COMPLEX COMP 45;Vitaminen;6.33;7.45;-0.15;0.18
2312700;ZINLORI 75 TABL 60 4216 METAGENICS;Spijsvertering;41.39;45.99;-0.10;0.11
2703411;NUTROF OMEGA VOEDINGSUPPL.OGEN CAPS 60;Oogdegeneratie;24.29;26.99;-0.10;0.11
1625698;AFA-KLAMATH GEL 60X400MG;Vitaminen;26.55;29.50;-0.10;0.11
2620136;BROMELASE 400 ENZYMES BE LIFE NF POT GEL 60;Spijsvertering;15.66;17.40;-0.10;0.11
2899565;OMEGA 3 CAPS 80 BIOVER;Circulatie;10.19;11.99;-0.15;0.18
2900942;ERGY-SLIM PDR ZAKJE 30;Constipatie;16.91;19.90;-0.15;0.18
3170263;PURE MAGNE TAURINE B COMP 45;Energiegebrek;13.51;15.90;-0.15;0.18
3275211;PHYSALIS GLUCONEM NF TABL 30 P10320;Spierpijn en stijfheid;16.20;18.00;-0.10;0.11
2851350;MSM-675-FORCE CAPS 90;Artrose / slijtage;23.40;26.00;-0.10;0.11
3361995;B-HADA III SOFTGELS 30;Menopauze;31.83;37.45;-0.15;0.18
436303;BIOLEINE OMEGA 3 CAPS 180;Cholesterol;44.20;52.00;-0.15;0.18
3364312;PHYSIOMANCE UBIQUINOL 3 CAPS 30 PHY284;Vitaminen;29.83;35.10;-0.15;0.18
2876530;LACTIBIANE KIND 1G NF ZAKJE 30X1G;Diarree;21.16;24.90;-0.15;0.18
3361243;DYNALIPOIQUE COMP 60;Anti-oxidanten;19.12;22.50;-0.15;0.18
2997724;ANIXCARE LEPPIN POT CAPS 60;Nervositeit;17.48;20.57;-0.15;0.18
2792711;OMEGASAN 3 SOFTGELS 60 CFR 3493715;Cholesterol;27.10;30.11;-0.10;0.11
2971455;BODYFLEX COMBI MAXIPACK COMP 160;Artrose / slijtage;56.81;59.80;-0.05;0.05
1573260;KERATON CAPS 100;Nagels en haren;24.31;28.60;-0.15;0.18
2044162;EVELLE COMP 60;Nagels en haren;43.35;51.00;-0.15;0.18
3150752;SUPRADYN VITAL 50+ NF BRUISTABLETTEN 30;Vitaminen;18.27;21.50;-0.15;0.18
3283108;VITACOLLAGENE HA BLISTER CAPS 6X15;Huid;32.30;34.00;-0.05;0.05
3072477;PROBIOTIC CAPS ACIDOPHILUS V-CAPS 30 NUTRISAN;Afweer;16.44;19.34;-0.15;0.18
2184810;PHARMAGENERIX OMEGA 3 PG CAPS 50;Circulatie;9.35;11.00;-0.15;0.18
2550101;RHUMAL COMPLET ZAKJE 90;Artrose / slijtage;58.61;68.95;-0.15;0.18
2963700;FYTOBELL CURCUMA FORTE COMP 90;Artrose / slijtage;16.96;19.95;-0.15;0.18
